File Name,Algorithm,Time (seconds),Memory Peak (MB),Status
input-01.txt,Hybrid Inference,0.0015,0.1443,Success
input-01.txt,SAT Optimized,0.0119,0.8086,Success
input-02.txt,Hybrid Inference,0.0016,0.1448,Success
input-02.txt,SAT Optimized,0.0132,0.8267,Success
input-03.txt,Hybrid Inference,0.0077,0.1495,Success
input-03.txt,SAT Optimized,0.0301,1.9363,Success
input-04.txt,Hybrid Inference,0.002,0.1539,Success
input-04.txt,SAT Optimized,0.028,1.8542,Success
input-05.txt,Hybrid Inference,0.0055,0.1555,Success
input-05.txt,SAT Optimized,0.063,3.8891,Success
input-06.txt,Hybrid Inference,0.0395,0.154,Success
input-06.txt,SAT Optimized,0.0585,3.7734,Success
input-07.txt,Hybrid Inference,0.0242,0.2052,Success
input-07.txt,SAT Optimized,0.1153,6.8486,Success
input-08.txt,Hybrid Inference,0.0062,0.1616,Success
input-08.txt,SAT Optimized,0.1211,7.057,Success
input-09.txt,Hybrid Inference,0.04,0.437,Success
input-09.txt,SAT Optimized,0.3558,19.8623,Success
input-10.txt,Hybrid Inference,2354.8059,1.1181,Success
input-10.txt,SAT Optimized,0.5433,21.0462,Success
